Timestamp	Filename	Error	Message
2025-03-31 03:39:49.960 +0200	Find Student By NationalID	0	script steps imported : 1
2025-03-31 03:39:49.979 +0200	KSLS.25.02.fmp12	0	Import completed
2025-03-31 03:45:32.552 +0200	KSLS.25.02.fmp12	0	Import of script steps from clipboard started
2025-03-31 03:45:32.584 +0200	Find Student By NationalID	0	script steps imported : 1
2025-03-31 03:45:32.604 +0200	KSLS.25.02.fmp12	0	Import completed
2025-03-31 03:45:47.497 +0200	KSLS.25.02.fmp12	0	Import of script steps from clipboard started
2025-03-31 03:45:47.546 +0200	Find Student By Name	0	script steps imported : 2
2025-03-31 03:45:47.579 +0200	KSLS.25.02.fmp12	0	Import completed
2025-03-31 03:45:55.035 +0200	KSLS.25.02.fmp12	0	Import of script steps from clipboard started
2025-03-31 03:45:55.072 +0200	Find Student By Name	0	script steps imported : 1
2025-03-31 03:45:55.084 +0200	KSLS.25.02.fmp12	0	Import completed
2025-03-31 03:46:09.072 +0200	KSLS.25.02.fmp12	0	Import of script steps from clipboard started
2025-03-31 03:46:09.198 +0200	Find Student By NationalID	0	script steps imported : 1
2025-03-31 03:46:09.214 +0200	KSLS.25.02.fmp12	0	Import completed
